session_id,total_ms,avg_ms_per_song,songs_in_session,session_start_hour,session_end_hour,avg_hour,day_of_week,unique_artists,first_artist,unique_tracks,session_start,session_end,session_duration_minutes,is_weekend,day_of_week_num,cluster
1,34734,5789.0,6,1,1,1.0,Tuesday,4,EXO,6,2018-04-17 01:11:53+00:00,2018-04-17 01:19:34+00:00,7.683333333333334,0,1,3
2,1446766,206680.85714285713,7,3,3,3.0,Tuesday,2,Jackson Wang,7,2018-04-17 03:25:20+00:00,2018-04-17 03:50:01+00:00,24.683333333333334,0,1,3
3,1639933,182214.77777777778,9,13,14,13.222222222222221,Tuesday,1,BTS,8,2018-04-17 13:14:23+00:00,2018-04-17 14:11:16+00:00,56.88333333333333,0,1,0
4,139971,46657.0,3,19,19,19.0,Tuesday,1,BTS,3,2018-04-17 19:18:33+00:00,2018-04-17 19:18:33+00:00,0.0,0,1,0
5,2969526,56028.79245283019,53,22,23,22.41509433962264,Tuesday,24,BTS,48,2018-04-17 22:25:46+00:00,2018-04-17 23:36:12+00:00,70.43333333333334,0,1,1
6,747757,39355.63157894737,19,0,0,0.0,Wednesday,9,EXO,18,2018-04-18 00:18:15+00:00,2018-04-18 00:28:10+00:00,9.916666666666666,0,2,2
7,1112646,101149.63636363637,11,13,13,13.0,Wednesday,7,EXO,10,2018-04-18 13:13:17+00:00,2018-04-18 13:30:16+00:00,16.983333333333334,0,2,0
8,98499,98499.0,1,14,14,14.0,Wednesday,1,BTS,1,2018-04-18 14:01:43+00:00,2018-04-18 14:01:43+00:00,0.0,0,2,0
9,3761,3761.0,1,18,18,18.0,Wednesday,1,BTS,1,2018-04-18 18:30:46+00:00,2018-04-18 18:30:46+00:00,0.0,0,2,0
10,3042556,138298.0,22,21,22,21.181818181818183,Wednesday,16,Demi Lovato,22,2018-04-18 21:15:22+00:00,2018-04-18 22:20:12+00:00,64.83333333333333,0,2,2
11,1974728,109707.11111111111,18,3,4,3.2222222222222223,Thursday,5,j-hope,16,2018-04-19 03:25:09+00:00,2018-04-19 04:13:38+00:00,48.483333333333334,0,3,2
12,738016,82001.77777777778,9,13,13,13.0,Thursday,8,BTS,9,2018-04-19 13:25:21+00:00,2018-04-19 13:38:22+00:00,13.016666666666667,0,3,0
13,1921754,113044.35294117648,17,0,0,0.0,Friday,11,Agust D,16,2018-04-20 00:18:42+00:00,2018-04-20 00:50:24+00:00,31.7,0,4,2
14,748328,74832.8,10,2,2,2.0,Friday,10,BTS,10,2018-04-20 02:29:10+00:00,2018-04-20 02:38:26+00:00,9.266666666666667,0,4,3
15,610541,122108.2,5,13,13,13.0,Friday,4,MONSTA X,5,2018-04-20 13:11:56+00:00,2018-04-20 13:29:31+00:00,17.583333333333332,0,4,0
16,452330,150776.66666666666,3,14,14,14.0,Friday,3,GD X TAEYANG,3,2018-04-20 14:17:45+00:00,2018-04-20 14:17:59+00:00,0.23333333333333334,0,4,0
17,198527,28361.0,7,22,22,22.0,Friday,6,SF9,6,2018-04-20 22:53:59+00:00,2018-04-20 22:54:38+00:00,0.65,0,4,0
18,269987,89995.66666666667,3,0,0,0.0,Saturday,2,SF9,3,2018-04-21 00:49:49+00:00,2018-04-21 00:54:09+00:00,4.333333333333333,1,5,3
19,452826,150942.0,3,16,16,16.0,Saturday,1,BTS,2,2018-04-21 16:07:59+00:00,2018-04-21 16:33:32+00:00,25.55,1,5,0
20,1582906,113064.71428571429,14,17,18,17.285714285714285,Saturday,3,BTS,13,2018-04-21 17:32:26+00:00,2018-04-21 18:10:56+00:00,38.5,1,5,0
21,2587680,136193.68421052632,19,1,2,1.368421052631579,Sunday,5,BTS,18,2018-04-22 01:34:07+00:00,2018-04-22 02:32:47+00:00,58.666666666666664,1,6,2
22,178534,89267.0,2,15,15,15.0,Sunday,1,BIGBANG,1,2018-04-22 15:44:23+00:00,2018-04-22 15:44:33+00:00,0.16666666666666666,1,6,0
23,245192,245192.0,1,16,16,16.0,Sunday,1,GD X TAEYANG,1,2018-04-22 16:49:09+00:00,2018-04-22 16:49:09+00:00,0.0,1,6,0
24,402289,134096.33333333334,3,20,20,20.0,Sunday,3,SF9,3,2018-04-22 20:36:19+00:00,2018-04-22 20:39:49+00:00,3.5,1,6,0
25,2447241,76476.28125,32,21,23,21.84375,Sunday,21,Agust D,29,2018-04-22 21:48:51+00:00,2018-04-22 23:06:19+00:00,77.46666666666667,1,6,1
26,13612,13612.0,1,3,3,3.0,Monday,1,DEAN,1,2018-04-23 03:20:45+00:00,2018-04-23 03:20:45+00:00,0.0,0,0,3
27,788760,131460.0,6,13,13,13.0,Monday,4,BIGBANG,6,2018-04-23 13:20:36+00:00,2018-04-23 13:33:36+00:00,13.0,0,0,0
28,392128,78425.6,5,14,14,14.0,Monday,5,V,5,2018-04-23 14:12:46+00:00,2018-04-23 14:19:44+00:00,6.966666666666667,0,0,0
29,245197,122598.5,2,16,16,16.0,Monday,1,GD X TAEYANG,1,2018-04-23 16:47:15+00:00,2018-04-23 16:48:55+00:00,1.6666666666666667,0,0,0
30,2177579,108878.95,20,23,0,20.7,Monday,16,ZICO,19,2018-04-23 23:03:30+00:00,2018-04-24 00:04:18+00:00,60.8,0,0,2
31,951678,105742.0,9,13,14,13.333333333333334,Tuesday,8,Rixton,9,2018-04-24 13:17:15+00:00,2018-04-24 14:22:10+00:00,64.91666666666667,0,1,2
32,1881903,104550.16666666667,18,22,23,22.77777777777778,Tuesday,9,BTS,17,2018-04-24 22:17:27+00:00,2018-04-24 23:16:16+00:00,58.81666666666667,0,1,2
33,154840,77420.0,2,23,23,23.0,Tuesday,2,Agust D,2,2018-04-24 23:46:46+00:00,2018-04-24 23:46:52+00:00,0.1,0,1,0
34,2835789,177236.8125,16,0,0,0.0,Thursday,8,j-hope,16,2018-04-26 00:00:38+00:00,2018-04-26 00:55:50+00:00,55.2,0,3,2
35,723599,120599.83333333333,6,3,3,3.0,Thursday,3,EXO,6,2018-04-26 03:29:15+00:00,2018-04-26 03:38:32+00:00,9.283333333333333,0,3,3
36,467923,66846.14285714286,7,13,13,13.0,Thursday,7,BTS,7,2018-04-26 13:13:50+00:00,2018-04-26 13:22:39+00:00,8.816666666666666,0,3,0
37,2182,2182.0,1,14,14,14.0,Thursday,1,G-DRAGON,1,2018-04-26 14:02:56+00:00,2018-04-26 14:02:56+00:00,0.0,0,3,0
38,183192,91596.0,2,19,19,19.0,Thursday,2,G-DRAGON,2,2018-04-26 19:22:44+00:00,2018-04-26 19:22:45+00:00,0.016666666666666666,0,3,0
39,1959848,178168.0,11,23,0,14.636363636363637,Thursday,10,B.A.P,11,2018-04-26 23:41:08+00:00,2018-04-27 00:13:59+00:00,32.85,0,3,2
40,383201,76640.2,5,1,1,1.0,Friday,3,j-hope,4,2018-04-27 01:24:26+00:00,2018-04-27 01:33:11+00:00,8.75,0,4,3
41,1436174,102583.85714285714,14,13,14,13.071428571428571,Friday,10,ZICO,12,2018-04-27 13:11:03+00:00,2018-04-27 14:00:40+00:00,49.61666666666667,0,4,2
42,3043446,121737.84,25,23,0,8.28,Friday,16,BTS,23,2018-04-27 23:48:29+00:00,2018-04-28 00:35:37+00:00,47.13333333333333,0,4,2
43,740353,123392.16666666667,6,16,16,16.0,Saturday,4,BTS,5,2018-04-28 16:16:13+00:00,2018-04-28 16:26:03+00:00,9.833333333333334,1,5,0
44,273084,136542.0,2,0,0,0.0,Sunday,2,j-hope,2,2018-04-29 00:52:16+00:00,2018-04-29 00:52:16+00:00,0.0,1,6,3
45,898035,128290.71428571429,7,2,2,2.0,Sunday,5,EXO,7,2018-04-29 02:41:30+00:00,2018-04-29 02:53:51+00:00,12.35,1,6,3
46,684964,171241.0,4,3,4,3.25,Sunday,2,BTS,4,2018-04-29 03:27:33+00:00,2018-04-29 04:01:49+00:00,34.266666666666666,1,6,3
47,2503495,166899.66666666666,15,0,1,0.6,Monday,3,SF9,14,2018-04-30 00:45:14+00:00,2018-04-30 01:36:39+00:00,51.416666666666664,0,0,3
48,291736,72934.0,4,3,3,3.0,Monday,2,BTS,4,2018-04-30 03:30:27+00:00,2018-04-30 03:35:18+00:00,4.85,0,0,3
49,1031734,206346.8,5,13,13,13.0,Monday,2,ZICO,5,2018-04-30 13:16:44+00:00,2018-04-30 13:30:47+00:00,14.05,0,0,0
50,457850,228925.0,2,14,14,14.0,Monday,1,BTS,2,2018-04-30 14:12:38+00:00,2018-04-30 14:12:38+00:00,0.0,0,0,0
51,3712316,106066.17142857143,35,22,0,16.914285714285715,Monday,15,BTS,29,2018-04-30 22:45:16+00:00,2018-05-01 00:32:51+00:00,107.58333333333333,0,0,1
52,608191,121638.2,5,3,3,3.0,Wednesday,4,BTS,4,2018-05-02 03:38:13+00:00,2018-05-02 03:52:27+00:00,14.233333333333333,0,2,3
53,793709,99213.625,8,4,4,4.0,Wednesday,7,ZICO,8,2018-05-02 04:24:14+00:00,2018-05-02 04:36:22+00:00,12.133333333333333,0,2,3
54,460377,57547.125,8,13,14,13.75,Wednesday,6,MINO,8,2018-05-02 13:34:21+00:00,2018-05-02 14:02:43+00:00,28.366666666666667,0,2,0
55,14488,3622.0,4,13,13,13.0,Thursday,4,SF9,4,2018-05-03 13:19:48+00:00,2018-05-03 13:20:37+00:00,0.8166666666666667,0,3,0
56,2995047,142621.2857142857,21,23,0,15.333333333333334,Thursday,10,GOT7,20,2018-05-03 23:15:42+00:00,2018-05-04 00:30:04+00:00,74.36666666666666,0,3,2
