,ts,username,platform,ms_played,conn_country,ip_addr_decrypted,user_agent_decrypted,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,episode_name,episode_show_name,spotify_episode_uri,reason_start,reason_end,shuffle,skipped,offline,offline_timestamp,incognito_mode
0,2018-04-17T01:11:53Z,a.r.m.y.skylar,"iOS 11.2 (iPhone6,2)",3250,US,75.84.183.73,unknown,Power,EXO,THE POWER OF MUSIC – The 4th Album ‘THE WAR’ Repackage,spotify:track:53YZi9zgTnF0Py0K6ejyWz,,,,clickrow,fwdbtn,False,,False,1523927505980,False
1,2018-04-17T01:11:59Z,a.r.m.y.skylar,"iOS 11.2 (iPhone6,2)",5503,US,75.84.183.73,unknown,Me Like Yuh,Jay Park,Everything You Wanted,spotify:track:5S5gGOsUarzRXKoaSstwba,,,,fwdbtn,fwdbtn,False,,False,1523927512856,False
2,2018-04-17T01:12:08Z,a.r.m.y.skylar,"iOS 11.2 (iPhone6,2)",8962,US,75.84.183.73,unknown,RUMOR,KARD,"K.A.R.D Project Vol.3 ""RUMOR""",spotify:track:22iz04Hw1tz0NBpiyoEMT1,,,,fwdbtn,endplay,False,,False,1523927518530,False
3,2018-04-17T01:12:12Z,a.r.m.y.skylar,"iOS 11.2 (iPhone6,2)",3854,US,75.84.183.73,unknown,MIC Drop,BTS,Love Yourself 承 'Her',spotify:track:2SYa5Lx1uoCvyDIW4oee9b,,,,clickrow,endplay,False,,False,1523927527528,False
4,2018-04-17T01:12:31Z,a.r.m.y.skylar,"iOS 11.2 (iPhone6,2)",3088,US,75.84.183.73,unknown,DNA,BTS,Love Yourself 承 'Her',spotify:track:5SE57ljOIUJ1ybL9U6CuBH,,,,clickrow,endplay,False,,False,1523927547490,False
5,2018-04-17T01:19:34Z,a.r.m.y.skylar,"iOS 11.2 (iPhone6,2)",10077,US,75.84.183.73,unknown,Blood Sweat & Tears,BTS,Wings,spotify:track:5RGf8qn1TBWVplLyyKUsuV,,,,clickrow,endplay,False,,False,1523927550904,False
6,2018-04-17T03:25:20Z,a.r.m.y.skylar,"iOS 11.2 (iPhone6,2)",4969,US,75.84.183.73,unknown,Papillon,Jackson Wang,Papillon,spotify:track:7Cy5lVtive8cM718xgr1TN,,,,clickrow,endplay,False,,False,1523927973520,False
7,2018-04-17T03:29:37Z,a.r.m.y.skylar,"iOS 11.2 (iPhone6,2)",235779,US,75.84.183.73,unknown,Go Go,BTS,Love Yourself 承 'Her',spotify:track:5nq1uTNIR1cBR72T87viS0,,,,clickrow,trackdone,True,,False,1523935519852,False
8,2018-04-17T03:33:25Z,a.r.m.y.skylar,"iOS 11.2 (iPhone6,2)",227413,US,75.84.183.73,unknown,Don't Leave Me,BTS,FACE YOURSELF,spotify:track:3zIG0WuI5RoJsFYnErkFDU,,,,trackdone,trackdone,True,,False,1523935776653,False
9,2018-04-17T03:38:25Z,a.r.m.y.skylar,"iOS 11.2 (iPhone6,2)",299706,US,75.84.183.73,unknown,Let Go,BTS,FACE YOURSELF,spotify:track:1OqDvYVDhJyFZny7XlfIyZ,,,,trackdone,trackdone,True,,False,1523936004600,False
10,2018-04-17T03:42:08Z,a.r.m.y.skylar,"iOS 11.2 (iPhone6,2)",223122,US,75.84.183.73,unknown,DNA,BTS,Love Yourself 承 'Her',spotify:track:5SE57ljOIUJ1ybL9U6CuBH,,,,trackdone,trackdone,True,,False,1523936304826,False
