,endTime,artistName,trackName,msPlayed
0,2023-10-25 23:03,MONSTA X,WHO DO U LOVE? (feat. French Montana),26476
1,2023-10-26 01:56,KAI,Rover,174506
2,2023-10-26 01:59,MONSTA X,WHO DO U LOVE? (feat. French Montana),189035
3,2023-10-26 02:02,JENNIE,You & Me,15312
4,2023-10-26 02:02,BLACKPINK,PLAYING WITH FIRE,197288
5,2023-10-26 02:07,KAI,Rover,174506
6,2023-10-26 02:10,MONSTA X,WHO DO U LOVE? (feat. French Montana),189035
7,2023-10-26 02:11,BTS,Boy in Luv,340
8,2023-10-26 02:11,BLACKPINK,PLAYING WITH FIRE,12745
9,2023-10-26 02:13,MONSTA X,WHO DO U LOVE? (feat. French Montana),2254
10,2023-10-26 02:13,KAI,Rover,174506
11,2023-10-26 02:14,KAI,Rover,13254
12,2023-10-26 02:17,KAI,Rover,174506
13,2023-10-26 02:20,KAI,Rover,174506
14,2023-10-26 02:22,KAI,Rover,174506
15,2023-10-26 02:25,KAI,Rover,174506
16,2023-10-26 02:28,KAI,Rover,174506
17,2023-10-26 02:29,KAI,Rover,20028
18,2023-10-26 02:33,Ayushmann Khurrana,Pani Da Rang Male,240786
19,2023-10-26 02:37,Ayushmann Khurrana,Pani Da Rang Male,35622
20,2023-10-26 02:37,Ayushmann Khurrana,Pani Da Rang Male,240786
21,2023-10-26 02:42,Ricky Martin,Vente Pa' Ca (feat. Maluma),259195
22,2023-10-26 02:46,Ricky Martin,Vente Pa' Ca (feat. Maluma),259195
23,2023-10-26 03:01,Ricky Martin,Vente Pa' Ca (feat. Maluma),115078
24,2023-10-26 06:18,MONSTA X,WHO DO U LOVE?,189035
25,2023-10-26 06:21,MONSTA X,WHO DO U LOVE?,189035
26,2023-10-26 06:25,MONSTA X,WHO DO U LOVE?,189035
27,2023-10-26 06:28,MONSTA X,WHO DO U LOVE?,189035
28,2023-10-26 14:07,MONSTA X,WHO DO U LOVE?,189004
29,2023-10-26 14:14,MONSTA X,WHO DO U LOVE?,91560
30,2023-10-26 14:17,DJ Snake,A Different Way - DEVAULT Remix,7135
31,2023-10-26 14:17,DJ Snake,A Different Way - DEVAULT Remix,215706
32,2023-10-26 14:22,Ricky Martin,Vente Pa' Ca (feat. Maluma),259195
33,2023-10-26 14:25,KAI,Rover,174506
34,2023-10-26 14:31,Ayushmann Khurrana,Pani Da Rang Male,236117
35,2023-10-26 14:33,TOMORROW X TOGETHER,Do It Like That,145065
36,2023-10-26 14:36,Troye Sivan,Rush,156391
37,2023-10-26 14:40,Pritam,"Pyaar Hota Kayi Baar Hai (From ""Tu Jhoothi Main Makkaar"")",216270
38,2023-10-26 14:43,Imagine Dragons,Bones,165264
39,2023-10-26 14:45,bbno$,edamame (feat. Rich Brian),133706
40,2023-10-26 14:48,Pritam,"Character Dheela 2.0 (From ""Shehzada"")",157152
41,2023-10-26 14:52,Anirudh Ravichander,Chaleya,22154
42,2023-10-26 14:52,Rochak Kohli,Saadi Galli Aaja,1367
43,2023-10-26 14:55,EI8HT,Silk & Cologne (EI8HT & Offset) - Spider-Verse Remix,162280
44,2023-10-26 14:59,Doja Cat,Paint The Town Red,231750
45,2023-10-26 15:02,Imagine Dragons,Enemy (with JID) - from the series Arcane League of Legends,173381
46,2023-10-26 15:02,King,Maan Meri Jaan (Afterlife),17199
47,2023-10-26 15:07,iamnotshane,Plot Twist,176470
48,2023-10-26 15:11,KK,Kya Mujhe Pyar Hai (Style Mix),255173
49,2023-10-26 15:13,TOMORROW X TOGETHER,Back for More (with Anitta),131037
50,2023-10-26 15:14,Agust D,HUH?! (feat. j-hope),16394
51,2023-10-26 15:21,Tainy,COLMILLO,265999
52,2023-10-26 15:25,BTS,Spine Breaker,159880
53,2023-10-26 15:43,Vishal-Shekhar,Khuda Jaane,333181
54,2023-10-26 15:48,Vishal-Shekhar,Khuda Jaane,333181
55,2023-10-26 15:54,Vishal-Shekhar,Khuda Jaane,333181
56,2023-10-26 16:00,Vishal-Shekhar,Khuda Jaane,38660
57,2023-10-26 16:00,Vishal-Shekhar,Khuda Jaane,333181
58,2023-10-26 16:04,Rihanna,S&M,243600
59,2023-10-26 16:05,Jonas Brothers,X (with KAROL G),8859
60,2023-10-26 16:08,KAI,Rover,174506
61,2023-10-26 16:10,KAI,Rover,174506
62,2023-10-26 16:13,KAI,Rover,174506
63,2023-10-26 16:16,KAI,Rover,8565
64,2023-10-26 16:16,KAI,Rover,174506
65,2023-10-26 16:20,MONSTA X,WHO DO U LOVE?,189035
66,2023-10-26 16:23,MONSTA X,WHO DO U LOVE?,189035
67,2023-10-26 16:26,MONSTA X,WHO DO U LOVE?,18493
68,2023-10-26 16:26,MONSTA X,WHO DO U LOVE?,189035
69,2023-10-26 16:30,Ayushmann Khurrana,Pani Da Rang Male,240786
70,2023-10-26 16:30,Ayushmann Khurrana,Pani Da Rang Male,1153
71,2023-10-26 16:33,Jónsi,Where No One Goes,164520
72,2023-10-26 16:38,Foudeqush,Con La Brisa,167386
73,2023-10-26 16:43,Franz Liszt,"Ständchen (From Schwanengesang, D957)",8762
74,2023-10-26 16:46,BTS,Best Of Me,227191
75,2023-10-26 16:51,BTS,Best Of Me,4511
76,2023-10-26 16:55,Dan Avidan,Kiss From A Rose,285526
77,2023-10-26 16:56,Dan Avidan,Kiss From A Rose,20966
78,2023-10-26 16:59,Joel Sunny,Luminary,189000
79,2023-10-26 17:10,Joel Sunny,Luminary,4460
80,2023-10-26 18:01,DREAMERS,Palm Reader,7746
81,2023-10-26 18:04,Sam Smith,Unholy (feat. Kim Petras),156943
82,2023-10-26 18:06,Tiësto,Hot In It (feat. Charli XCX),129817
83,2023-10-26 18:09,Stray Kids,CASE 143,191964
84,2023-10-26 18:12,Boys World,SO WHAT,136004
85,2023-10-26 18:15,SEVENTEEN,Super,200386
86,2023-10-26 18:18,Armaan Malik,Memu Aagamu,167547
87,2023-10-26 18:21,EI8HT,Silk & Cologne (EI8HT & Offset) - Spider-Verse Remix,162280
88,2023-10-26 18:24,Jung Kook,Seven (feat. Latto) (Explicit Ver.),184400
89,2023-10-26 18:26,iamnotshane,Maybe My Soulmate Died,114375
90,2023-10-26 18:28,Travis Scott,K-POP,76142
91,2023-10-26 22:00,MONSTA X,WHO DO U LOVE?,189035
92,2023-10-26 22:00,MONSTA X,WHO DO U LOVE?,944
93,2023-10-26 22:00,KAI,Rover,6436
94,2023-10-26 22:04,Ayushmann Khurrana,Pani Da Rang Male,240786
95,2023-10-26 22:05,Ayushmann Khurrana,Pani Da Rang Male,55612
96,2023-10-26 22:05,Arijit Singh,"Chal Wahan Jaate Hain (From ""Chal Wahan Jaate Hain"")",9366
97,2023-10-26 22:10,Vishal-Shekhar,Khuda Jaane,333181
98,2023-10-26 22:18,Vishal-Shekhar,Khuda Jaane,333181
99,2023-10-26 22:24,Vishal-Shekhar,Khuda Jaane,316882
