,name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,Heartbeat (BTS World Original Soundtrack),0.352,0.716,5,-4.306,1,0.045,0.39,0.0,0.208,0.296,84.736,audio_features,4ZISkGo0j60iyLbme2rAkC,spotify:track:4ZISkGo0j60iyLbme2rAkC,https://api.spotify.com/v1/tracks/4ZISkGo0j60iyLbme2rAkC,https://api.spotify.com/v1/audio-analysis/4ZISkGo0j60iyLbme2rAkC,253304,4
1,Havana - Remix,0.751,0.579,2,-4.036,1,0.0321,0.398,2.28e-05,0.133,0.349,105.031,audio_features,3whrwq4DtvucphBPUogRuJ,spotify:track:3whrwq4DtvucphBPUogRuJ,https://api.spotify.com/v1/tracks/3whrwq4DtvucphBPUogRuJ,https://api.spotify.com/v1/audio-analysis/3whrwq4DtvucphBPUogRuJ,199095,4
2,Savage Love (Laxed - Siren Beat),0.767,0.481,0,-8.52,0,0.0803,0.234,0.0,0.269,0.761,150.076,audio_features,1xQ6trAsedVPCdbtDAmk0c,spotify:track:1xQ6trAsedVPCdbtDAmk0c,https://api.spotify.com/v1/tracks/1xQ6trAsedVPCdbtDAmk0c,https://api.spotify.com/v1/audio-analysis/1xQ6trAsedVPCdbtDAmk0c,171375,4
3,The Humma Song,0.721,0.65,0,-6.95,0,0.135,0.0115,0.00014,0.34,0.392,130.487,audio_features,7heMX7gyHP0mhTlNgd7Lxd,spotify:track:7heMX7gyHP0mhTlNgd7Lxd,https://api.spotify.com/v1/tracks/7heMX7gyHP0mhTlNgd7Lxd,https://api.spotify.com/v1/audio-analysis/7heMX7gyHP0mhTlNgd7Lxd,179658,5
4,0X1=LOVESONG (I Know I Love You) feat. Seori,0.584,0.836,0,-4.925,1,0.079,0.0558,0.0,0.0663,0.484,104.973,audio_features,1Z8TPHiKeCUyClxV6WTTIf,spotify:track:1Z8TPHiKeCUyClxV6WTTIf,https://api.spotify.com/v1/tracks/1Z8TPHiKeCUyClxV6WTTIf,https://api.spotify.com/v1/audio-analysis/1Z8TPHiKeCUyClxV6WTTIf,202204,4
5,F*ck My Life,0.736,0.685,5,-4.762,1,0.0604,0.0849,0.0,0.0955,0.857,80.022,audio_features,3tgWMPOY4stCdKYj5NjrAe,spotify:track:3tgWMPOY4stCdKYj5NjrAe,https://api.spotify.com/v1/tracks/3tgWMPOY4stCdKYj5NjrAe,https://api.spotify.com/v1/audio-analysis/3tgWMPOY4stCdKYj5NjrAe,202280,4
6,Kill Chori,0.795,0.585,9,-6.549,0,0.149,0.502,0.0,0.45,0.542,101.972,audio_features,6WwnxT2dRwJEGgHksKLNCC,spotify:track:6WwnxT2dRwJEGgHksKLNCC,https://api.spotify.com/v1/tracks/6WwnxT2dRwJEGgHksKLNCC,https://api.spotify.com/v1/audio-analysis/6WwnxT2dRwJEGgHksKLNCC,189635,4
7,Character Dheela 2.0,0.841,0.863,11,-4.73,1,0.0642,0.00332,9.64e-05,0.111,0.426,111.955,audio_features,0QT9B8Yfrz0vi66oXMrKJg,spotify:track:0QT9B8Yfrz0vi66oXMrKJg,https://api.spotify.com/v1/tracks/0QT9B8Yfrz0vi66oXMrKJg,https://api.spotify.com/v1/audio-analysis/0QT9B8Yfrz0vi66oXMrKJg,157153,4
8,Waiting for Tonight,0.695,0.945,10,-6.165,0,0.0418,0.00341,0.0727,0.103,0.84,125.013,audio_features,5yaCquc7koPqtgj7v0lwHX,spotify:track:5yaCquc7koPqtgj7v0lwHX,https://api.spotify.com/v1/tracks/5yaCquc7koPqtgj7v0lwHX,https://api.spotify.com/v1/audio-analysis/5yaCquc7koPqtgj7v0lwHX,246427,4
9,BTBT,0.766,0.664,9,-6.932,0,0.177,0.334,0.0,0.115,0.509,109.946,audio_features,4XcxgZSriCYamtIA7BgT7V,spotify:track:4XcxgZSriCYamtIA7BgT7V,https://api.spotify.com/v1/tracks/4XcxgZSriCYamtIA7BgT7V,https://api.spotify.com/v1/audio-analysis/4XcxgZSriCYamtIA7BgT7V,219550,4
